show_id,country
s2015,United States
s2016,United States
s2017,United States
s2018,United States
s2019,United States
s2020,United States
s2021,United States
s2022,United States
s2023,United States
s2024,United States
s2025,United States
s2026,United States
s2027,United States
s2028,United States
s2029,United States
s2030,United States
s2031,United States
s2032,United States
s2033,India
s2034,United States
s2035,United States
s2036,United States
s2037,United States
s2038,United States
s2039,United States
s2040,United States
s2041,United States
s2042,United States
s2043,United States
s2044,United States
s2045,United States
s2046,United States
s2047,United States
s2048,United States
s2049,United States
s2050,United States
s2051,United States
s2052,United States
s2053,United States
s2054,United States
s2055,United States
s2056,United States
s2057,United States
s2058,United States
s2059,United States
s2060,United Kingdom
s2061,United Kingdom
s2062,United States
s2063,United States
s2064,United States
s2065,United States
s2066,United States
s2067,United States
s2068,United States
s2069,United States
s2070,United States
s2071,United States
s2072,United States
s2073,United States
s2074,United States
s2075,United States
s2076,United States
s2077,United States
s2078,United States
s2079,United States
s2080,India
s2081,India
s2082,India
s2083,United States
s2084,United States
s2085,United States
s2086,United States
s2087,United States
s2088,United States
s2089,United States
s2090,United States
s2091,United States
s2092,United States
s2093,United States
s2094,United States
s2095,United States
s2096,United Kingdom
s2097,United States
s2098,United States
s2099,United States
s2100,United States
s2101,United States
s2102,United States
s2103,India
s2104,United States
s2105,United States
s2106,United States
s2107,United States
s2108,United States
s2109,United States
s2110,United States
s2111,United States
s2112,United States
